Part	Country	Site	Cultural phase/ Dates	Dates	Notes on Dating	Confidence	Lower Range BC	Lower Range CE	Lower Range BP	Upper Range BC	Upper Range CE	Upper Range BP	Records	Latitude	Longtitude
Europe	France	Vénissieux, Auvergne-Rhône-Alpes	La Tène B1	400-320 BC		Maybe	400		2350	320		2270	1 specimen	45.697711	4.885597
Europe	France	Roquelaure, Occitanie	Iron Age II	~400 BCE-100 CE		No	400		2350		100	1850	several specimens	43.721111	0.579722
Europe	France	Mittelhausen, Grand Est	La Tène A/B2	460-260 BC		Maybe	460		2410	260		2210	2 specimens	48.7092	7.62983
Europe	France	Vrigny, Grand Est	La Tène A	460-400 BC		Maybe	460		2410	400		2350	2 specimens	49.2339	3.91322
Europe	France	Aubigny	La Tène A/B	480/450-280/250 BCE		No	480		2430	250		2200	2 specimens	49.89986	2.48329
Europe	France	Bussy-St-Georges	La Tène A/B	480/450-280/250 BCE		No	480		2430	250		2200	12 specimens	48.84221	2.69802
Europe	France	Salses-le-Château, Occitanie	Iron Age II	~500-400 BCE		Maybe	500		2450	400		2350	1 specimen	42.8327	2.91891
Europe	France	Romans-sur-Isère, Auvergne-Rhône-Alpes	Hallstatt D3/ La Tène A	~500-400 BCE		Maybe	500		2450	400		2350	1 specimen	45.0456	5.05086
Europe	France	Saint-Saturnin, Auvergne-Rhône-Alpes	Hallstatt D3/ La Tène A	~500-400 BCE		Maybe	500		2450	400		2350	4 specimens	44.4109	3.18842
Europe	France	Illfurth, Grand Est	Hallstatt D3/ La Tène A	~500-400 BCE		Maybe	500		2450	400		2350	1 specimen	47.674048	7.266968
Europe	France	Entzheim-Geispolsheim, Grand Est	Hallstatt D3/ La Tène A	~500-400 BCE		Maybe	500		2450	400		2350	25 specimens	48.534618	7.635883
Europe	France	Bure, Grand Est	Hallstatt D3/ La Tène A	~500-400 BCE		Maybe	500		2450	400		2350	17 specimens	48.5048	5.35665
Europe	France	Escrennes, Centre-Val de Loire	Hallstatt D3/ La Tène A	~500-400 BCE		Maybe	500		2450	400		2350	12 specimens	48.13287	2.18808
Europe	France	Pfulgriesheim, Grand Est	Hallstatt D3/ La Tène A	~500-400 BCE		Maybe 	500		2450	400		2350	2 specimens	48.6437	7.67095
Europe	France	Tagnon, Grand Est	Hallstatt D3/ La Tène A	~500-400 BCE		Maybe	500		2450	400		2350	30 specimens	49.439187	4.289667
Europe	France	Bussy-Saint-Georges, Ile-de-France	Hallstatt D3/ La Tène A	~500-400 BCE		Maybe	500		2450	400		2350	24 specimens	48.8416	2.69789
Europe	France	Menneville	Hallstatt D2/3-La Tène A/B	550/530 BCE - 280/250 BCE 		No	550		2500	250		2200	2 specimens	50.66921	1.86383
Europe	France	Bucy-le-Long, Grand Marais (le)	Hallstatt D2/3 - La Tène A/B	550/530-280/250 BCE		No	550		2500	250		2200	2 specimens	49.39009	3.39244
